"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"13","13","2017-12-22","away","Texas Tech","L","47","74","18","61",".295","4","20",".200","7","7","1.000","5","29","6","5","0","10","26","25","49",".510","7","18",".389","17","34",".500","8","40","16","4","4","12","10","abilene christian"
"14","14","2017-12-28","away","New Orleans","L","74","77","24","48",".500","8","18",".444","18","25",".720","4","23","15","11","4","15","31","22","44",".500","0","6",".000","33","47",".702","5","27","16","10","3","16","21","abilene christian"
"15","15","2017-12-30","home","Sam Houston State","W","75","72","25","55",".455","9","22",".409","16","27",".593","8","34","17","6","11","15","22","24","58",".414","9","21",".429","15","21",".714","5","30","13","7","1","15","23","abilene christian"
"16","16","2018-01-03","home","McNeese State","W","79","74","28","60",".467","6","24",".250","17","24",".708","4","33","17","7","2","11","20","27","58",".466","8","24",".333","12","19",".632","5","36","9","4","2","15","18","abilene christian"
"17","17","2018-01-06","home","Southeastern Louisiana","L","70","72","29","66",".439","5","18",".278","7","13",".538","9","27","16","8","5","9","22","26","50",".520","9","17",".529","11","18",".611","7","36","14","3","4","19","14","abilene christian"
"18","18","2018-01-10","away","Houston Baptist","W","82","74","30","55",".545","6","19",".316","16","22",".727","3","21","18","7","7","10","24","25","58",".431","10","24",".417","14","23",".609","11","34","13","3","0","16","20","abilene christian"
"19","19","2018-01-13","away","Northwestern State","W","69","58","23","53",".434","8","18",".444","15","23",".652","7","29","13","9","0","15","22","19","48",".396","3","15",".200","17","29",".586","12","37","6","3","5","21","19","abilene christian"
"20","20","2018-01-17","home","Stephen F. Austin","L","66","76","19","43",".442","6","17",".353","22","29",".759","5","26","15","4","8","22","28","23","59",".390","4","17",".235","26","36",".722","15","33","10","11","2","13","23","abilene christian"
"21","21","2018-01-20","away","Central Arkansas","W","80","63","28","56",".500","10","22",".455","14","20",".700","8","36","19","6","5","11","20","23","57",".404","5","21",".238","12","16",".750","7","27","17","7","7","10","18","abilene christian"
"22","22","2018-01-24","away","Texas A&M-Corpus Christi","L","66","80","18","51",".353","6","23",".261","24","30",".800","6","20","12","11","0","19","22","23","45",".511","11","23",".478","23","25",".920","4","30","14","12","2","25","25","abilene christian"
"23","1","2017-11-12","home","Texas State","W","65","57","25","60",".417","8","20",".400","7","9",".778","10","29","16","11","3","10","21","20","44",".455","5","13",".385","12","17",".706","6","31","8","4","3","19","14","air force"
"24","2","2017-11-14","home","Canisius","W","93","79","23","50",".460","9","21",".429","38","41",".927","10","32","14","6","4","14","20","27","63",".429","11","35",".314","14","16",".875","13","30","13","5","2","11","29","air force"
"25","3","2017-11-20","home","Arkansas-Pine Bluff","W","57","47","15","50",".300","6","22",".273","21","27",".778","10","37","11","5","1","12","12","19","48",".396","5","19",".263","4","8",".500","4","27","8","8","5","13","24","air force"
"26","4","2017-11-21","home","Pacific","L","71","83","23","60",".383","9","32",".281","16","22",".727","12","32","20","5","3","13","26","24","47",".511","9","17",".529","26","36",".722","9","34","15","8","5","15","18","air force"
"27","5","2017-11-26","away","Colorado","L","69","81","25","58",".431","11","26",".423","8","9",".889","4","21","16","7","1","10","20","26","54",".481","10","26",".385","19","20",".950","10","40","17","1","3","15","16","air force"
"28","6","2017-11-29","away","Indiana State","L","64","74","23","51",".451","6","17",".353","12","18",".667","9","28","10","7","1","20","17","25","54",".463","11","31",".355","13","18",".722","8","29","12","12","2","17","17","air force"
"29","7","2017-12-02","away","Denver","W","61","59","21","55",".382","7","28",".250","12","17",".706","7","29","11","4","0","14","20","19","44",".432","11","26",".423","10","15",".667","6","35","15","4","2","22","20","air force"
"30","8","2017-12-04","home","Western State","W","79","67","30","54",".556","9","20",".450","10","18",".556","4","24","16","5","1","13","17","25","49",".510","9","24",".375","8","11",".727","4","27","13","6","1","19","22","air force"
"31","9","2017-12-06","home","Abilene Christian","L","58","62","25","51",".490","3","18",".167","5","8",".625","5","33","15","5","2","20","14","23","54",".426","9","25",".360","7","15",".467","7","24","11","8","4","12","16","air force"
"32","10","2017-12-08","away","UC-Riverside","L","48","67","17","56",".304","5","27",".185","9","17",".529","8","24","10","6","2","8","16","25","47",".532","7","23",".304","10","15",".667","4","37","16","5","6","12","16","air force"
"33","11","2017-12-17","neutral","Army","L","54","79","14","57",".246","9","30",".300","17","22",".773","17","43","9","5","3","21","18","26","61",".426","16","31",".516","11","14",".786","9","33","18","10","1","13","22","air force"
"34","12","2017-12-22","home","Johnson & Wales","W","111","68","43","70",".614","11","27",".407","14","18",".778","13","44","26","9","1","8","15","24","58",".414","10","25",".400","10","16",".625","4","20","11","6","1","12","17","air force"
"35","13","2017-12-27","away","New Mexico","L","58","87","22","58",".379","3","16",".188","11","20",".550","13","36","7","4","2","16","15","31","62",".500","14","33",".424","11","14",".786","7","34","21","9","4","6","20","air force"
"36","14","2017-12-30","away","Fresno State","L","59","71","17","45",".378","6","17",".353","19","22",".864","6","20","11","3","4","12","23","25","47",".532","7","17",".412","14","22",".636","8","33","16","3","3","14","24","air force"
"37","15","2018-01-06","home","Nevada","L","75","86","29","55",".527","8","21",".381","9","14",".643","8","23","14","6","3","9","17","29","55",".527","15","31",".484","13","15",".867","11","32","16","5","3","14","17","air force"
"38","16","2018-01-10","home","UNLV","L","76","81","25","61",".410","6","20",".300","20","24",".833","16","33","9","7","2","10","18","29","46",".630","9","18",".500","14","23",".609","4","28","18","7","3","16","21","air force"
"39","17","2018-01-13","away","San Jose State","W","78","71","23","56",".411","13","33",".394","19","28",".679","12","34","16","4","3","8","19","24","51",".471","6","14",".429","17","27",".630","9","31","15","4","3","9","22","air force"
"40","18","2018-01-17","away","Colorado State","W","76","71","25","63",".397","12","39",".308","14","17",".824","9","34","18","6","5","8","18","27","73",".370","5","17",".294","12","15",".800","17","45","16","6","4","9","15","air force"
"41","19","2018-01-24","away","Utah State","L","49","71","18","55",".327","3","22",".136","10","15",".667","9","32","9","8","0","9","17","26","52",".500","9","28",".321","10","14",".714","6","36","14","3","4","10","15","air force"
"42","1","2017-11-11","home","Cleveland State","W","67","57","20","64",".313","8","31",".258","19","23",".826","6","43","7","5","5","16","26","22","55",".400","3","19",".158","10","26",".385","4","37","7","5","4","15","20","akron"
"43","2","2017-11-18","home","UT-Martin","W","76","59","25","54",".463","15","31",".484","11","14",".786","10","30","18","2","2","14","10","25","58",".431","6","20",".300","3","5",".600","10","28","9","7","3","12","15","akron"
"44","3","2017-11-25","away","Dayton","L","60","73","22","50",".440","6","20",".300","10","18",".556","3","21","16","5","1","10","17","27","52",".519","9","21",".429","10","17",".588","10","36","21","5","2","14","17","akron"
"45","4","2017-11-28","home","Chattanooga","W","75","70","28","53",".528","6","14",".429","13","17",".765","8","29","13","13","2","17","23","26","48",".542","5","11",".455","13","21",".619","5","23","13","7","1","16","15","akron"
"46","5","2017-12-02","away","Marshall","L","64","86","24","63",".381","6","24",".250","10","19",".526","10","30","9","11","2","22","19","30","64",".469","10","29",".345","16","20",".800","16","41","17","10","5","20","19","akron"
"47","6","2017-12-06","home","IPFW","W","83","79","31","61",".508","10","24",".417","11","27",".407","12","36","16","9","5","18","16","28","58",".483","14","33",".424","9","11",".818","6","23","16","10","3","20","20","akron"
"48","7","2017-12-09","home","Appalachian State","W","94","89","34","60",".567","14","24",".583","12","20",".600","6","31","26","4","2","13","17","32","64",".500","12","27",".444","13","18",".722","6","28","18","6","5","5","18","akron"
"49","8","2017-12-16","home","Mississippi Valley State","W","81","63","28","59",".475","12","28",".429","13","21",".619","13","38","15","9","6","12","19","23","63",".365","1","12",".083","16","20",".800","13","30","8","6","2","10","19","akron"
